"id","dtc_code","dtc_description"
"956","P0960","Pressure Control Solenoid A Control Circuit/Open"
"957","P0961","Pressure Control Solenoid A Control Circuit Range/Performance"
"958","P0962","Pressure Control Solenoid A Control Circuit Low"
"959","P0963","Pressure Control Solenoid A Control Circuit High"
"960","P0964","Pressure Control Solenoid B Control Circuit/Open"
"961","P0965","Pressure Control Solenoid B Control Circuit Range/Performance"
"962","P0966","Pressure Control Solenoid B Control Circuit Low"
"963","P0967","Pressure Control Solenoid B Control Circuit High"
"964","P0968","Pressure Control Solenoid C Control Circuit/Open"
"965","P0969","Pressure Control Solenoid C Control Circuit Range/Performance"
"966","P0970","Pressure Control Solenoid C Control Circuit Low"
"967","P0971","Pressure Control Solenoid C Control Circuit High"
"968","P0972","Shift Solenoid A Control Circuit Range/Performance"
"969","P0973","Shift Solenoid A Control Circuit Low"
"970","P0974","Shift Solenoid A Control Circuit High"
"971","P0975","Shift Solenoid B Control Circuit Range/Performance"
"972","P0976","Shift Solenoid B Control Circuit Low"
"973","P0977","Shift Solenoid B Control Circuit High"
"974","P0978","Shift Solenoid C Control Circuit Range/Performance"
"975","P0979","Shift Solenoid C Control Circuit Low"
"976","P0980","Shift Solenoid C Control Circuit High"
"977","P0981","Shift Solenoid D Control Circuit Range/Performance"
"978","P0982","Shift Solenoid D Control Circuit Low"
"979","P0983","Shift Solenoid D Control Circuit High"
"980","P0984","Shift Solenoid E Control Circuit Range/Performance"
"981","P0985","Shift Solenoid E Control Circuit Low"
"982","P0986","Shift Solenoid E Control Circuit High"
"983","P0987","Transmission Fluid Pressure Sensor/Switch E Circuit"
"984","P0988","Transmission Fluid Pressure Sensor/Switch E Circuit Range/Performance"
"985","P0989","Transmission Fluid Pressure Sensor/Switch E Circuit Low"
"986","P0990","Transmission Fluid Pressure Sensor/Switch E Circuit High"
"987","P0991","Transmission Fluid Pressure Sensor/Switch E Circuit Intermittent"
"988","P0992","Transmission Fluid Pressure Sensor/Switch F Circuit"
"989","P0993","Transmission Fluid Pressure Sensor/Switch F Circuit Range/Performance"
"990","P0994","Transmission Fluid Pressure Sensor/Switch F Circuit Low"
"991","P0995","Transmission Fluid Pressure Sensor/Switch F Circuit High"
"992","P0996","Transmission Fluid Pressure Sensor/Switch F Circuit Intermittent"
"993","P0997","Shift Solenoid F Control Circuit Range/Performance"
"994","P0998","Shift Solenoid F Control Circuit Low"
"995","P0999","Shift Solenoid F Control Circuit High"
"996","P0A00","Motor Electronics Coolant Temperature Sensor Circuit"
"997","P0A01","Motor Electronics Coolant Temperature Sensor Circuit Range/Performance"
"998","P0A02","Motor Electronics Coolant Temperature Sensor Circuit Low"
"999","P0A03","Motor Electronics Coolant Temperature Sensor Circuit High"
"1000","P0A04","Motor Electronics Coolant Temperature Sensor Circuit Intermittent"
"1001","P0A05","Motor Electronics Coolant Pump Control Circuit/Open"
"1002","P0A06","Motor Electronics Coolant Pump Control Circuit Low"
"1003","P0A07","Motor Electronics Coolant Pump Control Circuit High"
"1004","P0A08","DC/DC Converter Status Circuit"
"1005","P0A09","DC/DC Converter Status Circuit Low Input"
"1006","P0A10","DC/DC Converter Status Circuit High Input"
"1007","P0A11","DC/DC Converter Enable Circuit/Open"
"1008","P0A12","DC/DC Converter Enable Circuit Low"
"1009","P0A13","DC/DC Converter Enable Circuit High"
"1010","P0A14","Engine Mount Control Circuit/Open"
"1011","P0A15","Engine Mount Control Circuit Low"
"1012","P0A16","Engine Mount Control Circuit High"
"1013","P0A17","Motor Torque Sensor Circuit"
"1014","P0A18","Motor Torque Sensor Circuit Range/Performance"
"1015","P0A19","Motor Torque Sensor Circuit Low"
"1016","P0A20","Motor Torque Sensor Circuit High"
"1017","P0A21","Motor Torque Sensor Circuit Intermittent"
"1018","P0A22","Generator Torque Sensor Circuit"
"1019","P0A23","Generator Torque Sensor Circuit Range/Performance"
"1020","P0A24","Generator Torque Sensor Circuit Low"
"1021","P0A25","Generator Torque Sensor Circuit High"
"1022","P0A26","Generator Torque Sensor Circuit Intermittent"
"1023","P0A27","Battery Power Off Circuit"
"1024","P0A28","Battery Power Off Circuit Low"
"1025","P0A29","Battery Power Off Circuit High"
"1026","P2000","NOx Trap Efficiency Below Threshold"
"1027","P2001","NOx Trap Efficiency Below Threshold"
"1028","P2002","Particulate Trap Efficiency Below Threshold"
"1029","P2003","Particulate Trap Efficiency Below Threshold"
"1030","P2004","Intake Manifold Runner Control Stuck Open"
"1031","P2005","Intake Manifold Runner Control Stuck Open"
"1032","P2006","Intake Manifold Runner Control Stuck Closed"
"1033","P2007","Intake Manifold Runner Control Stuck Closed"
"1034","P2008","Intake Manifold Runner Control Circuit/Open"
"1035","P2009","Intake Manifold Runner Control Circuit Low"
"1036","P2010","Intake Manifold Runner Control Circuit High"
"1037","P2011","Intake Manifold Runner Control Circuit/Open"
"1038","P2012","Intake Manifold Runner Control Circuit Low"
"1039","P2013","Intake Manifold Runner Control Circuit High"
"1040","P2014","Intake Manifold Runner Position Sensor/Switch Circuit"
"1041","P2015","Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance"
"1042","P2016","Intake Manifold Runner Position Sensor/Switch Circuit Low"
"1043","P2017","Intake Manifold Runner Position Sensor/Switch Circuit High"
"1044","P2018","Intake Manifold Runner Position Sensor/Switch Circuit Intermittent"
"1045","P2019","Intake Manifold Runner Position Sensor/Switch Circuit"
"1046","P2020","Intake Manifold Runner Position Sensor/Switch Circuit Range/Performance"
"1047","P2021","Intake Manifold Runner Position Sensor/Switch Circuit Low"
"1048","P2022","Intake Manifold Runner Position Sensor/Switch Circuit High"
"1049","P2023","Intake Manifold Runner Position Sensor/Switch Circuit Intermittent"
"1050","P2024","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit"
"1051","P2025","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Performance"
"1052","P2026","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Low Voltage"
"1053","P2027","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit High Voltage"
"1054","P2028","Evaporative Emissions (EVAP) Fuel Vapor Temperature Sensor Circuit Intermittent"
"1055","P2029","Fuel Fired Heater Disabled"
"1056","P2030","Fuel Fired Heater Performance"
"1057","P2031","Exhaust Gas Temperature Sensor Circuit"
"1058","P2032","Exhaust Gas Temperature Sensor Circuit Low"
"1059","P2033","Exhaust Gas Temperature Sensor Circuit High"
"1060","P2034","Exhaust Gas Temperature Sensor Circuit"
"1061","P2035","Exhaust Gas Temperature Sensor Circuit Low"
"1062","P2036","Exhaust Gas Temperature Sensor Circuit High"
"1063","P2037","Reductant Injection Air Pressure Sensor Circuit"
"1064","P2038","Reductant Injection Air Pressure Sensor Circuit Range/Performance"
"1065","P2039","Reductant Injection Air Pressure Sensor Circuit Low Input"
"1066","P2040","Reductant Injection Air Pressure Sensor Circuit High Input"
"1067","P2041","Reductant Injection Air Pressure Sensor Circuit Intermittent"
"1068","P2042","Reductant Temperature Sensor Circuit"
"1069","P2043","Reductant Temperature Sensor Circuit Range/Performance"
"1070","P2044","Reductant Temperature Sensor Circuit Low Input"
"1071","P2045","Reductant Temperature Sensor Circuit High Input"
"1072","P2046","Reductant Temperature Sensor Circuit Intermittent"
"1073","P2047","Reductant Injector Circuit/Open"
"1074","P2048","Reductant Injector Circuit Low"
"1075","P2049","Reductant Injector Circuit High"
"1076","P2050","Reductant Injector Circuit/Open"
"1077","P2051","Reductant Injector Circuit Low"
"1078","P2052","Reductant Injector Circuit High"
"1079","P2053","Reductant Injector Circuit/Open"
"1080","P2054","Reductant Injector Circuit Low"
"1081","P2055","Reductant Injector Circuit High"
"1082","P2056","Reductant Injector Circuit/Open"
"1083","P2057","Reductant Injector Circuit Low"
"1084","P2058","Reductant Injector Circuit High"
"1085","P2059","Reductant Injection Air Pump Control Circuit/Open"
"1086","P2060","Reductant Injection Air Pump Control Circuit Low"
"1087","P2061","Reductant Injection Air Pump Control Circuit High"
"1088","P2062","Reductant Supply Control Circuit/Open"
"1089","P2063","Reductant Supply Control Circuit Low"
"1090","P2064","Reductant Supply Control Circuit High"
"1091","P2065","Fuel Level Sensor B Circuit"
"1092","P2066","Fuel Level Sensor B Performance"
"1093","P2067","Fuel Level Sensor B Circuit Low"
"1094","P2068","Fuel Level Sensor B Circuit High"
"1095","P2069","Fuel Level Sensor B Circuit Intermittent"
"1096","P2070","Intake Manifold Tuning (IMT) Valve Stuck Open"
"1097","P2071","Intake Manifold Tuning (IMT) Valve Stuck Closed"
"1098","P2075","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit"
"1099","Intake","Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit"
"1100","P2076","Range/Performance"
"1101","P2077","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Low"
"1102","P2078","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit High"
"1103","P2079","Intake Manifold Tuning (IMT) Valve Position Sensor/Switch Circuit Intermittent"
"1104","P2080","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"1105","P2081","Exhaust Gas Temperature Sensor Circuit Intermittent"
"1106","P2082","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"1107","P2083","Exhaust Gas Temperature Sensor Circuit Intermittent"
"1108","P2084","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"1109","P2085","Exhaust Gas Temperature Sensor Circuit Intermittent"
"1110","P2086","Exhaust Gas Temperature Sensor Circuit Range/Performance"
"1111","P2087","Exhaust Gas Temperature Sensor Circuit Intermittent"
"1112","P2088","A Camshaft Position Actuator Control Circuit Low"
"1113","P2089","A Camshaft Position Actuator Control Circuit High"
"1114","P2090","B Camshaft Position Actuator Control Circuit Low"
"1115","P2091","B Camshaft Position Actuator Control Circuit High"
"1116","P2092","A Camshaft Position Actuator Control Circuit Low"
"1117","P2093","A Camshaft Position Actuator Control Circuit High"
"1118","P2094","B Camshaft Position Actuator Control Circuit Low"
"1119","P2095","B Camshaft Position Actuator Control Circuit High"
"1120","P2096","Post Catalyst Fuel Trim System Too Lean"
"1121","P2097","Post Catalyst Fuel Trim System Too Rich"
"1122","P2098","Post Catalyst Fuel Trim System Too Lean"
"1123","P2099","Post Catalyst Fuel Trim System Too Rich"
"1124","P2100","Throttle Actuator Control Motor Circuit/Open"
"1125","P2101","Throttle Actuator Control Motor Circuit Range/Performance"
"1126","P2102","Throttle Actuator Control Motor Circuit Low"
"1127","P2103","Throttle Actuator Control Motor Circuit High"
"1128","P2104","Throttle Actuator Control System - Forced Idle"
"1129","P2105","Throttle Actuator Control System - Forced Engine Shutdown"
"1130","P2106","Throttle Actuator Control System - Forced Limited Power"
"1131","P2107","Throttle Actuator Control Module Processor"
"1132","P2108","Throttle Actuator Control Module Performance"
"1133","P2109","Throttle/Pedal Position Sensor A Minimum Stop Performance"
"1134","P2110","Throttle Actuator Control System - Forced Limited RPM"
"1135","P2111","Throttle Actuator Control System - Stuck Open"
"1136","P2112","Throttle Actuator Control System - Stuck Closed"
"1137","P2113","Throttle/Pedal Position Sensor B Minimum Stop Performance"
"1138","P2114","Throttle/Pedal Position Sensor C Minimum Stop Performance"
"1139","P2115","Throttle/Pedal Position Sensor D Minimum Stop Performance"
"1140","P2116","Throttle/Pedal Position Sensor E Minimum Stop Performance"
"1141","P2117","Throttle/Pedal Position Sensor F Minimum Stop Performance"
"1142","P2118","Throttle Actuator Control Motor Current Range/Performance"
"1143","P2119","Throttle Actuator Control Throttle Body Range/Performance"
"1144","P2120","Throttle/Pedal Position Sensor/Switch D Circuit"
"1145","P2121","Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance"
"1146","P2122","Throttle/Pedal Position Sensor/Switch D Circuit Low Input"
"1147","P2123","Throttle/Pedal Position Sensor/Switch D Circuit High Input"
"1148","P2124","Throttle/Pedal Position Sensor/Switch D Circuit Intermittent"
"1149","P2125","Throttle/Pedal Position Sensor/Switch E Circuit"
"1150","P2126","Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance"
"1151","P2127","Throttle/Pedal Position Sensor/Switch E Circuit Low Input"
"1152","P2128","Throttle/Pedal Position Sensor/Switch E Circuit High Input"
"1153","P2129","Throttle/Pedal Position Sensor/Switch E Circuit Intermittent"
"1154","P2130","Throttle/Pedal Position Sensor/Switch F Circuit"
"1155","P2131","Throttle/Pedal Position Sensor/Switch F Circuit Range Performance"
"1156","P2132","Throttle/Pedal Position Sensor/Switch F Circuit Low Input"
"1157","P2133","Throttle/Pedal Position Sensor/Switch F Circuit High Input"
"1158","P2134","Throttle/Pedal Position Sensor/Switch F Circuit Intermittent"
"1159","P2135","Throttle/Pedal Position Sensor/Switch A / B Voltage Correlation"
"1160","P2136","Throttle/Pedal Position Sensor/Switch A / C Voltage Correlation"
"1161","P2137","Throttle/Pedal Position Sensor/Switch B / C Voltage Correlation"
"1162","P2138","Throttle/Pedal Position Sensor/Switch D / E Voltage Correlation"
"1163","P2139","Throttle/Pedal Position Sensor/Switch D / F Voltage Correlation"
"1164","P2140","Throttle/Pedal Position Sensor/Switch E / F Voltage Correlation"
"1165","P2141","Exhaust Gas Recirculation Throttle Control Circuit Low"
"1166","P2142","Exhaust Gas Recirculation Throttle Control Circuit High"
"1167","P2143","Exhaust Gas Recirculation Vent Control Circuit/Open"
"1168","P2144","Exhaust Gas Recirculation Vent Control Circuit Low"
"1169","P2145","Exhaust Gas Recirculation Vent Control Circuit High"
"1170","P2146","Fuel Injector Group A Supply Voltage Circuit/Open"
"1171","P2147","Fuel Injector Group A Supply Voltage Circuit Low"
"1172","P2148","Fuel Injector Group A Supply Voltage Circuit High"
"1173","P2149","Fuel Injector Group B Supply Voltage Circuit/Open"
"1174","P2150","Fuel Injector Group B Supply Voltage Circuit Low"
"1175","P2151","Fuel Injector Group B Supply Voltage Circuit High"
"1176","P2152","Fuel Injector Group C Supply Voltage Circuit/Open"
"1177","P2153","Fuel Injector Group C Supply Voltage Circuit Low"
"1178","P2154","Fuel Injector Group C Supply Voltage Circuit High"
"1179","P2155","Fuel Injector Group D Supply Voltage Circuit/Open"
"1180","P2156","Fuel Injector Group D Supply Voltage Circuit Low"
"1181","P2157","Fuel Injector Group D Supply Voltage Circuit High"
"1182","P2158","Vehicle Speed Sensor B"
"1183","P2159","Vehicle Speed Sensor B Range/Performance"
"1184","P2160","Vehicle Speed Sensor B Circuit Low"
"1185","P2161","Vehicle Speed Sensor B Intermittent/Erratic"
"1186","P2162","Vehicle Speed Sensor A / B Correlation"
"1187","P2163","Throttle/Pedal Position Sensor A Maximum Stop Performance"
"1188","P2164","Throttle/Pedal Position Sensor B Maximum Stop Performance"
"1189","P2165","Throttle/Pedal Position Sensor C Maximum Stop Performance"
"1190","P2166","Throttle/Pedal Position Sensor D Maximum Stop Performance"
"1191","P2167","Throttle/Pedal Position Sensor E Maximum Stop Performance"
"1192","P2168","Throttle/Pedal Position Sensor F Maximum Stop Performance"
"1193","P2169","Exhaust Pressure Regulator Vent Solenoid Control Circuit/Open"
"1194","P2170","Exhaust Pressure Regulator Vent Solenoid Control Circuit Low"
"1195","P2171","Exhaust Pressure Regulator Vent Solenoid Control Circuit High"
"1196","P2172","Throttle Actuator Control System - Sudden High Airflow Detected"
"1197","P2173","Throttle Actuator Control System - High Airflow Detected"
"1198","P2174","Throttle Actuator Control System - Sudden Low Airflow Detected"
"1199","P2175","Throttle Actuator Control System - Low Airflow Detected"
"1200","P2176","Throttle Actuator Control System - Idle Position Not Learned"
"1201","P2177","System Too Lean Off Idle"
"1202","P2178","System Too Rich Off Idle"
"1203","P2179","System Too Lean Off Idle"
"1204","P2180","System Too Rich Off Idle"
"1205","P2181","Cooling System Performance"
"1206","P2182","Engine Coolant Temperature Sensor 2 Circuit"
"1207","P2183","Engine Coolant Temperature Sensor 2 Circuit Range/Performance"
"1208","P2184","Engine Coolant Temperature Sensor 2 Circuit Low"
"1209","P2185","Engine Coolant Temperature Sensor 2 Circuit High"
"1210","P2186","Engine Coolant Temperature Sensor 2 Circuit Intermittent/Erratic"
"1211","P2187","System Too Lean at Idle"
"1212","P2188","System Too Rich at Idle"
"1213","P2189","System Too Lean at Idle"
"1214","P2190","System Too Rich at Idle"
"1215","P2191","System Too Lean at Higher Load"
"1216","P2192","System Too Rich at Higher Load"
"1217","P2193","System Too Lean at Higher Load"
"1218","P2194","System Too Rich at Higher Load"
"1219","P2195","O2 Sensor Signal Stuck Lean"
"1220","P2196","O2 Sensor Signal Stuck Rich"
"1221","P2197","O2 Sensor Signal Stuck Lean"
"1222","P2198","O2 Sensor Signal Stuck Rich"
"1223","P2199","Intake Air Temperature Sensor 1 / 2 Correlation"
"1224","P2200","NOx Sensor Circuit"
"1225","P2201","NOx Sensor Circuit Range/Performance"
"1226","P2202","NOx Sensor Circuit Low Input"
"1227","P2203","NOx Sensor Circuit High Input"
"1228","P2204","NOx Sensor Circuit Intermittent Input"
"1229","P2205","NOx Sensor Heater Control Circuit/Open"
"1230","P2206","NOx Sensor Heater Control Circuit Low"
"1231","P2207","NOx Sensor Heater Control Circuit High"
"1232","P2208","NOx Sensor Heater Sense Circuit"
"1233","P2209","NOx Sensor Heater Sense Circuit Range/Performance"
"1234","P2210","NOx Sensor Heater Sense Circuit Low Input"
"1235","P2211","NOx Sensor Heater Sense Circuit High Input"
"1236","P2212","NOx Sensor Heater Sense Circuit Intermittent"
"1237","P2213","NOx Sensor Circuit"
"1238","P2214","NOx Sensor Circuit Range/Performance"
"1239","P2215","NOx Sensor Circuit Low Input"
"1240","P2216","NOx Sensor Circuit High Input"
"1241","P2217","NOx Sensor Circuit Intermittent Input"
"1242","P2218","NOx Sensor Heater Control Circuit/Open"
"1243","P2219","NOx Sensor Heater Control Circuit Low"
"1244","P2220","NOx Sensor Heater Control Circuit High"
"1245","P2221","NOx Sensor Heater Sense Circuit"
"1246","P2222","NOx Sensor Heater Sense Circuit Range/Performance"
"1247","P2223","NOx Sensor Heater Sense Circuit Low"
"1248","P2224","NOx Sensor Heater Sense Circuit High"
"1249","P2225","NOx Sensor Heater Sense Circuit Intermittent"
"1250","P2226","Barometric Pressure Circuit"
"1251","P2227","Barometric Pressure Circuit Range/Performance"
"1252","P2228","Barometric Pressure Circuit Low"
"1253","P2229","Barometric Pressure Circuit High"
"1254","P2230","Barometric Pressure Circuit Intermittent"
"1255","P2231","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1256","P2232","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1257","P2233","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1258","P2234","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1259","P2235","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1260","P2236","O2 Sensor Signal Circuit Shorted to Heater Circuit"
"1261","P2237","O2 Sensor Positive Current Control Circuit/Open"
"1262","P2238","O2 Sensor Positive Current Control Circuit Low"
"1263","P2239","O2 Sensor Positive Current Control Circuit High"
"1264","P2240","O2 Sensor Positive Current Control Circuit/Open"
"1265","P2241","O2 Sensor Positive Current Control Circuit Low"
"1266","P2242","O2 Sensor Positive Current Control Circuit High"
"1267","P2243","O2 Sensor Reference Voltage Circuit/Open"
"1268","P2244","O2 Sensor Reference Voltage Performance"
"1269","P2245","O2 Sensor Reference Voltage Circuit Low"
"1270","P2246","O2 Sensor Reference Voltage Circuit High"
"1271","P2247","O2 Sensor Reference Voltage Circuit/Open"
"1272","P2248","O2 Sensor Reference Voltage Performance"
"1273","P2249","O2 Sensor Reference Voltage Circuit Low"
"1274","P2250","O2 Sensor Reference Voltage Circuit High"
"1275","P2251","O2 Sensor Negative Current Control Circuit/Open"
"1276","P2252","O2 Sensor Negative Current Control Circuit Low"
"1277","P2253","O2 Sensor Negative Current Control Circuit High"
"1278","P2254","O2 Sensor Negative Current Control Circuit/Open"
"1279","P2255","O2 Sensor Negative Current Control Circuit Low"
"1280","P2256","O2 Sensor Negative Current Control Circuit High"
"1281","P2257","Secondary Air Injection System Control A Circuit Low"
"1282","P2258","Secondary Air Injection System Control A Circuit High"
"1283","P2259","Secondary Air Injection System Control B Circuit Low"
"1284","P2260","Secondary Air Injection System Control B Circuit High"
"1285","P2261","Turbo/Super Charger Bypass Valve - Mechanical"
"1286","P2262","Turbo Boost Pressure Not Detected - Mechanical"
"1287","P2263","Turbo/Super Charger Boost System Performance"
"1288","P2264","Water in Fuel Sensor Circuit"
"1289","P2265","Water in Fuel Sensor Circuit Range/Performance"
"1290","P2266","Water in Fuel Sensor Circuit Low"
"1291","P2267","Water in Fuel Sensor Circuit High"
"1292","P2268","Water in Fuel Sensor Circuit Intermittent"
"1293","P2269","Water in Fuel Condition"
"1294","P2270","O2 Sensor Signal Stuck Lean"
"1295","P2271","O2 Sensor Signal Stuck Rich"
"1296","P2272","O2 Sensor Signal Stuck Lean"
"1297","P2273","O2 Sensor Signal Stuck Rich"
"1298","P2274","O2 Sensor Signal Stuck Lean"
"1299","P2275","O2 Sensor Signal Stuck Rich"
"1300","P2276","O2 Sensor Signal Stuck Lean"
"1301","P2277","O2 Sensor Signal Stuck Rich"
"1302","P2278","O2 Sensor Signals Swapped Bank 1 Sensor 3 / Bank 2 Sensor 3"
"1303","P2279","Intake Air System Leak"
"1304","P2280","Air Flow Restriction / Air Leak Between Air Filter and MAF"
"1305","P2281","Air Leak Between MAF and Throttle Body"
"1306","P2282","Air Leak Between Throttle Body and Intake Valves"
"1307","P2283","Injector Control Pressure Sensor Circuit"
"1308","P2284","Injector Control Pressure Sensor Circuit Range/Performance"
"1309","P2285","Injector Control Pressure Sensor Circuit Low"
"1310","P2286","Injector Control Pressure Sensor Circuit High"
"1311","P2287","Injector Control Pressure Sensor Circuit Intermittent"
"1312","P2288","Injector Control Pressure Too High"
"1313","P2289","Injector Control Pressure Too High - Engine Off"
"1314","P2290","Injector Control Pressure Too Low"
"1315","P2291","Injector Control Pressure Too Low - Engine Cranking"
"1316","P2292","Injector Control Pressure Erratic"
"1317","P2293","Fuel Pressure Regulator 2 Performance"
"1318","P2294","Fuel Pressure Regulator 2 Control Circuit"
"1319","P2295","Fuel Pressure Regulator 2 Control Circuit Low"
"1320","P2296","Fuel Pressure Regulator 2 Control Circuit High"
"1321","P2297","O2 Sensor Out of Range During Deceleration"
"1322","P2298","O2 Sensor Out of Range During Deceleration"
"1323","P2299","Brake Pedal Position / Accelerator Pedal Position Incompatible"
"1324","P2300","Ignition Coil A Primary Control Circuit Low"
"1325","P2301","Ignition Coil A Primary Control Circuit High"
"1326","P2302","Ignition Coil A Secondary Circuit"
"1327","P2303","Ignition Coil B Primary Control Circuit Low"
"1328","P2304","Ignition Coil B Primary Control Circuit High"
"1329","P2305","Ignition Coil B Secondary Circuit"
"1330","P2306","Ignition Coil C Primary Control Circuit Low"
"1331","P2307","Ignition Coil C Primary Control Circuit High"
"1332","P2308","Ignition Coil C Secondary Circuit"
"1333","P2309","Ignition Coil D Primary Control Circuit Low"
"1334","P2310","Ignition Coil D Primary Control Circuit High"
"1335","P2311","Ignition Coil D Secondary Circuit"
"1336","P2312","Ignition Coil E Primary Control Circuit Low"
"1337","P2313","Ignition Coil E Primary Control Circuit High"
"1338","P2314","Ignition Coil E Secondary Circuit"
"1339","P2315","Ignition Coil F Primary Control Circuit Low"
"1340","P2316","Ignition Coil F Primary Control Circuit High"
"1341","P2317","Ignition Coil F Secondary Circuit"
"1342","P2318","Ignition Coil G Primary Control Circuit Low"
"1343","P2319","Ignition Coil G Primary Control Circuit High"
"1344","P2320","Ignition Coil G Secondary Circuit"
"1345","P2321","Ignition Coil H Primary Control Circuit Low"
"1346","P2322","Ignition Coil H Primary Control Circuit High"
"1347","P2323","Ignition Coil H Secondary Circuit"
"1348","P2324","Ignition Coil I Primary Control Circuit Low"
"1349","P2325","Ignition Coil I Primary Control Circuit High"
"1350","P2326","Ignition Coil I Secondary Circuit"
"1351","P2327","Ignition Coil J Primary Control Circuit Low"
"1352","P2328","Ignition Coil J Primary Control Circuit High"
"1353","P2329","Ignition Coil J Secondary Circuit"
"1354","P2330","Ignition Coil K Primary Control Circuit Low"
"1355","P2331","Ignition Coil K Primary Control Circuit High"
"1356","P2332","Ignition Coil K Secondary Circuit"
"1357","P2333","Ignition Coil L Primary Control Circuit Low"
"1358","P2334","Ignition Coil L Primary Control Circuit High"
"1359","P2335","Ignition Coil L Secondary Circuit"
"1360","P2336","Cylinder #1 Above Knock Threshold"
"1361","P2337","Cylinder #2 Above Knock Threshold"
"1362","P2338","Cylinder #3 Above Knock Threshold"
"1363","P2339","Cylinder #4 Above Knock Threshold"
"1364","P2340","Cylinder #5 Above Knock Threshold"
"1365","P2341","Cylinder #6 Above Knock Threshold"
"1366","P2342","Cylinder #7 Above Knock Threshold"
"1367","P2343","Cylinder #8 Above Knock Threshold"
"1368","P2344","Cylinder #9 Above Knock Threshold"
"1369","P2345","Cylinder #10 Above Knock Threshold"
"1370","P2346","Cylinder #11 Above Knock Threshold"
"1371","P2347","Cylinder #12 Above Knock Threshold"
"1372","P2400","Evaporative Emission System Leak Detection Pump Control Circuit/Open"
"1373","P2401","Evaporative Emission System Leak Detection Pump Control Circuit Low"
"1374","P2402","Evaporative Emission System Leak Detection Pump Control Circuit High"
"1375","P2403","Evaporative Emission System Leak Detection Pump Sense Circuit/Open"
"1376","P2404","Evaporative Emission System Leak Detection Pump Sense Circuit Range/Performance"
"1377","P2405","Evaporative Emission System Leak Detection Pump Sense Circuit Low"
"1378","P2406","Evaporative Emission System Leak Detection Pump Sense Circuit High"
"1379","P2407","Evaporative Emission System Leak Detection Pump Sense Circuit Intermittent/Erratic"
"1380","P2408","Fuel Cap Sensor/Switch Circuit"
"1381","P2409","Fuel Cap Sensor/Switch Circuit Range/Performance"
"1382","P2410","Fuel Cap Sensor/Switch Circuit Low"
"1383","P2411","Fuel Cap Sensor/Switch Circuit High"
"1384","P2412","Fuel Cap Sensor/Switch Circuit Intermittent/Erratic"
"1385","P2413","Exhaust Gas Recirculation System Performance"
"1386","P2414","O2 Sensor Exhaust Sample Error"
"1387","P2415","O2 Sensor Exhaust Sample Error"
"1388","P2416","O2 Sensor Signals Swapped Bank 1 Sensor 2 / Bank 1 Sensor 3"
"1389","P2417","O2 Sensor Signals Swapped Bank 2 Sensor 2 / Bank 2 Sensor 3"
"1390","P2418","Evaporative Emission System Switching Valve Control Circuit / Open"
"1391","P2419","Evaporative Emission System Switching Valve Control Circuit Low"
"1392","P2420","Evaporative Emission System Switching Valve Control Circuit High"
"1393","P2421","Evaporative Emission System Vent Valve Stuck Open"
"1394","P2422","Evaporative Emission System Vent Valve Stuck Closed"
"1395","P2423","HC Adsorption Catalyst Efficiency Below Threshold"
"1396","P2424","HC Adsorption Catalyst Efficiency Below Threshold"
"1397","P2425","Exhaust Gas Recirculation Cooling Valve Control Circuit/Open"
"1398","P2426","Exhaust Gas Recirculation Cooling Valve Control Circuit Low"
"1399","P2427","Exhaust Gas Recirculation Cooling Valve Control Circuit High"
"1400","P2428","Exhaust Gas Temperature Too High"
"1401","P2429","Exhaust Gas Temperature Too High"
"1402","P2430","Secondary Air Injection System Air Flow/Pressure Sensor Circuit"
"1403","P2431","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance"
"1404","P2432","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low"
"1405","P2433","Secondary Air Injection System Air Flow/Pressure Sensor Circuit High"
"1406","P2434","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Intermittent/Erratic"
"1407","P2435","Secondary Air Injection System Air Flow/Pressure Sensor Circuit"
"1408","P2436","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Range/Performance"
"1409","P2437","Secondary Air Injection System Air Flow/Pressure Sensor Circuit Low"
